Unnamed: 1_level_0 # Pl_for,Playing Time Min_for,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Playing Time Min_against,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
3,3420,33,128,95,77.3,23,8,7,13,5,4,0,1,0.0,3420,70,196,128,64.8,5,1,1,0,0,0.0
2,3420,20,102,85,83.3,28,4,6,26,3,3,0,0,0.0,3420,70,187,118,62.6,4,2,0,0,2,
2,3420,41,146,106,74.0,17,9,12,13,3,3,0,0,0.0,3420,46,147,103,74.1,13,9,8,1,0,11.1
2,3420,53,202,148,78.2,10,12,16,13,10,9,1,0,10.0,3420,30,112,83,76.8,17,5,4,0,1,0.0
2,3420,53,134,80,64.2,11,10,17,10,8,5,2,1,28.6,3420,43,163,121,74.8,10,3,2,1,0,33.3
2,3420,67,208,140,71.2,5,10,23,4,10,7,3,0,30.0,3420,30,129,98,79.8,16,5,4,1,0,20.0
4,3419,69,183,115,65.0,8,13,17,6,6,5,1,0,16.7,3420,52,156,105,69.9,4,5,5,0,0,0.0
1,3420,45,166,119,75.3,10,12,16,13,8,4,4,0,50.0,3420,34,123,87,76.4,14,8,5,2,1,28.6
2,3420,55,168,112,70.8,13,10,15,4,8,6,1,1,14.3,3420,58,169,113,70.4,8,9,8,1,0,11.1
3,3420,43,145,101,74.5,14,8,16,13,7,6,1,0,14.3,3420,37,112,75,70.5,13,5,4,1,0,20.0
2,3420,42,148,107,72.3,15,8,15,11,4,1,1,2,50.0,3420,37,137,101,75.9,15,5,4,0,1,0.0
